bibkey,authors,year,title,venue,type,url_or_doi,status,section_used,priority,notes
yao2022react,"Yao S., Zhao J., Yu D., Du N., Shafran I., Narasimhan K., Cao Y.",2023,"ReAct: Synergizing Reasoning and Acting in Language Models",ICLR,conference,https://arxiv.org/abs/2210.03629,cited,§2 Related Work,must-have,"Foundational tool-use + reasoning paradigm; cite as standard baseline"
schick2023toolformer,"Schick T., Dwivedi-Yu J., Dessì R., Raileanu R., Lomeli M., Zettlemoyer L., Cancedda N., Scialom T.",2023,"Toolformer: Language Models Can Teach Themselves to Use Tools",NeurIPS,conference,https://arxiv.org/abs/2302.04761,cited,§2 Related Work,must-have,"Self-supervised tool use; complements ReAct in related work paragraph"
openai2023functioncalling,"OpenAI",2023,"Function calling and other API updates",OpenAI blog / API docs,blog,https://openai.com/blog/function-calling-and-other-api-updates,cited,§2 Related Work,must-have,"Primary citation for typed function-calling API; can also cite Anthropic tool-use docs if preferred"
mialon2023gaia,"Mialon G., Fourrier C., Swift C., Wolf T., LeCun Y., Scialom T.",2023,"GAIA: a benchmark for General AI Assistants",arXiv preprint,preprint,https://arxiv.org/abs/2311.12983,cited,§2 Related Work,nice-to-have,"Agent benchmark citation; can substitute SWE-bench / Mind2Web"
liu2023agentbench,"Liu X., Yu H., Zhang H., Xu Y., Lei X., Lai H., Gu Y., Ding H., Men K., Yang K., Zhang S., Deng X., Zeng A., Du Z., Zhang C., Shen S., Zhang T., Su Y., Sun H., Huang M., Dong Y., Tang J.",2023,"AgentBench: Evaluating LLMs as Agents",ICLR 2024,conference,https://arxiv.org/abs/2308.03688,cited,§2 Related Work,nice-to-have,"Companion benchmark to GAIA; cite together for breadth"
reiter2000building,"Reiter E., Dale R.",2000,"Building Natural Language Generation Systems",Cambridge University Press,book,https://doi.org/10.1017/CBO9780511519857,cited,§2 Related Work,must-have,"Classical NLG pipeline foundation; positions our work in NLG tradition"
lewis2020retrieval,"Lewis P., Perez E., Piktus A., Petroni F., Karpukhin V., Goyal N., Küttler H., Lewis M., Yih W., Rocktäschel T., Riedel S., Kiela D.",2020,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",NeurIPS,conference,https://arxiv.org/abs/2005.11401,cited,§2 Related Work,must-have,"RAG foundational; cite for grounding-via-retrieval paragraph"
bohnet2022attributed,"Bohnet B., Tran V., Verga P., Aharoni R., Andor D., Soares L., Ciaramita M., Eisenstein J., Ganchev K., Herzig J., Hui K., Kwiatkowski T., Ma J., Ni J., Saralegui L., Schuster T., Cohen W., Collins M., Das D., Metzler D., Petrov S., Webster K.",2023,"Attributed Question Answering: Evaluation and Modeling for Attributed Large Language Models",arXiv preprint,preprint,https://arxiv.org/abs/2212.08037,cited,§2 Related Work,nice-to-have,"Attribution evaluation methodology; supports our faithfulness eval framing"
min2023factscore,"Min S., Krishna K., Lyu X., Lewis M., Yih W., Koh P.W., Iyyer M., Zettlemoyer L., Hajishirzi H.",2023,"FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation",EMNLP,conference,https://arxiv.org/abs/2305.14251,cited,§2 Related Work,must-have,"Direct precedent for our atomic numeric-claim verification; methodological anchor"
singhal2023large,"Singhal K., Azizi S., Tu T., Mahdavi S.S., Wei J., Chung H.W., Scales N., Tanwani A., Cole-Lewis H., Pfohl S., Payne P., Seneviratne M., Gamble P., Kelly C., Babiker A., Schärli N., Chowdhery A., Mansfield P., Demner-Fushman D., Agüera y Arcas B., Webster D., Corrado G.S., Matias Y., Chou K., Gottweis J., Tomasev N., Liu Y., Rajkomar A., Barral J., Semturs C., Karthikesalingam A., Natarajan V.",2023,"Large language models encode clinical knowledge",Nature,journal,https://doi.org/10.1038/s41586-023-06291-2,cited,§1 Introduction,must-have,"Med-PaLM; cite as example of LLM hallucination in scientific domain"
